fetched_date,platform,video_id,title,channel_or_user,url,views,likes,comments,published_at,duration_seconds,thumbnail_url,description_snippet
2026-03-15,YouTube,lS0q6IiUrb8,BGMI LIVE 🔥 Solo vs Squad Rush Gameplay | High Kills | Shorts Live,Harshit Yt Live,https://www.youtube.com/watch?v=lS0q6IiUrb8,84780,368,0,2026-03-15T00:04:05Z,16392,https://i.ytimg.com/vi/lS0q6IiUrb8/hqdefault.jpg,"BGMI LIVE 🔥 Solo vs Squad Rush Gameplay | High Kills | Shorts Live

New Device :- iPad Pro M4 256 GB
Old Device :- ipad 8th gen 60 fps 6 years old iPad 🥲
Laptop Asus Tuf F15 :-  i5 12500h 16gb ram Rtx"
2026-03-15,YouTube,deM3isDI8Pk,1v3 win royal pass   @M_YADAV_is_LIVE  @ANSARIISLIVE6  #bgmi  #1V3M24,ANSARIISLIVE6,https://www.youtube.com/watch?v=deM3isDI8Pk,41503,302,0,2026-03-15T02:44:51Z,2051,https://i.ytimg.com/vi/deM3isDI8Pk/hqdefault.jpg,"1V3 WIN ROYAL PASS @M YADAV IS LIVE @ANSARI IS LIVE
#bgmi #pubgmobile #shorts #shortvideo #1v4 #1vs4 #battlegroundmobileindia #bgmiindia #livestream #shortlive @ANSARIISLIVE #bgmishorts"
2026-03-15,YouTube,K8VdSs9SHMw,AGGRESSIVE RUSH GAMEPLAY 😍| FACECAM 😍| VERTICAL STREAM #shortvideo  #bgmilive #girlgamer #shortsfeed,Aashi is live,https://www.youtube.com/watch?v=K8VdSs9SHMw,38123,1465,4,2026-03-15T00:30:25Z,26251,https://i.ytimg.com/vi/K8VdSs9SHMw/hqdefault.jpg,"Hello everyone 💕 

I’m Aashi Pandey, a BGMI live Streamer/Gamer from Greater Noida. I do daily late-night streams, playing in top-tier Rank Push lobbies. If you like my game style, clutch moments, and"
2026-03-15,YouTube,WsbVONaoumg,“🔥 BGMI NEW 4.2 UPDATE CLASSIC EXPLORE AND TDM ROOMS🔥 |  #bgmi #short #bgmilive #1v1room,Neptune is live ,https://www.youtube.com/watch?v=WsbVONaoumg,35221,564,1,2026-03-15T01:10:32Z,21753,https://i.ytimg.com/vi/WsbVONaoumg/hqdefault.jpg,"🗣 FOLLOW ME ON 
 
WHATSAPP = https://chat.whatsapp.com/Fj9vn0EMlHQ99BbdYyAdbT
INSTAGRAM 📷 = https://www.instagram.com/stymphalist._?igsh=MWU0dW9yNXFzbTdkaw==&utm_source=ig_contact_invite


YOUTUBE ▶ ="
2026-03-15,YouTube,lYfvnkL4hr8,BGMI 4.2 UPDATE || LETS PLAY WOW MODE || CREATORISLIVE #shortslive #livestream #bgmi,CREATORisLIVE,https://www.youtube.com/watch?v=lYfvnkL4hr8,23070,181,0,2026-03-15T00:44:26Z,24270,https://i.ytimg.com/vi/lYfvnkL4hr8/hqdefault.jpg,BGMI 4.2 UPDATE || LETS PLAY WOW MODE || CREATORISLIVE #shortslive #livestream #bgmi                                                                                                                    
2026-03-15,YouTube,jXoZe2GwAV4,Maiyaa ka saiyaaa |TEAMCODES |BGMI WITH PIU PIU |#bgmi #girlgamer #facecamlive #live #shorts,Piu Piu Gaming,https://www.youtube.com/watch?v=jXoZe2GwAV4,17723,893,3,2026-03-15T00:39:58Z,22223,https://i.ytimg.com/vi/jXoZe2GwAV4/hqdefault.jpg,#bgmifacecamgameplay #piupiuislive   #piupiu  #girlgamer #pubg #facecam #shortsfeed #shorts #live #recommend #teamcode #giveaway #bgmi #pubgmobile #girlgamer #shortsfeed #viral #shorts #trending #shor
2026-03-15,YouTube,Tf--Ab9aZI0,NEW CRATE & FACE RETURN 😍 Bgmi New Royale Pass Here | A18 Royal Pass |  Next Royal Pass Bgmi ,Gk Afroz,https://www.youtube.com/watch?v=Tf--Ab9aZI0,13329,1981,248,2026-03-15T04:02:36Z,570,https://i.ytimg.com/vi/Tf--Ab9aZI0/hqdefault.jpg,"NEW CRATE & FACE RETURN 😍 Bgmi New Royale Pass Here | A18 Royal Pass |  Next Royal Pass Bgm

AA JAAO TELEGRAM Me - https://t.me/GkAfroz


Instagram :- https://instagram.com/gk_afroz/




About Video :"
2026-03-15,YouTube,AD6XqivISYk,Ramadan Mini #vlog Day 24😍 #minivlog #ramadanvlog #viralshort #shortsfeed #bgmi #trending #shorts,SHADY YT,https://www.youtube.com/watch?v=AD6XqivISYk,11144,1733,25,2026-03-15T03:30:05Z,73,https://i.ytimg.com/vi/AD6XqivISYk/hqdefault.jpg,
2026-03-15,YouTube,c6SiUx0NEEY,BEST RIVALRY IN BGMI | BGIS 2026 #VLOG ,MazyisLive,https://www.youtube.com/watch?v=c6SiUx0NEEY,11073,10848,716,2026-03-15T03:30:33Z,1743,https://i.ytimg.com/vi/c6SiUx0NEEY/hqdefault.jpg,"Join this channel to get access to perks:
https://www.youtube.com/c/MazyisLive/join

Discord Link: https://discord.gg/WHkMynN
🎤Promotion/Sponsor-shanalam837@gmail.com

Follow Us On
⏭Instagram: https:/"
2026-03-15,YouTube,HgbV5aAicy8,FULL LOBBY DOMINATE IN JINI EVENT😍| BGMI LIVE | #bgmi #shorts  #pubgmobile #handcam,Masoom Gaming,https://www.youtube.com/watch?v=HgbV5aAicy8,10896,139,0,2026-03-15T04:30:44Z,12945,https://i.ytimg.com/vi/HgbV5aAicy8/hqdefault.jpg,"FULL LOBBY DOMINATE IN JINI EVENT😍| BGMI LIVE | #bgmi #shorts  #pubgmobile #handcam
Device - IPAD PRO M4
Headphones - RAZER BLACKSHARK V2X USB
Screen mirror - Douwan vip
.............................."
